Category,Traits,,Percentage
Background,,,
,Blue,,2000
,Grren,,1500
,Pink,,900
,Red,,500
,Yellow,,100
,,Total,5000
,,,
Dress,,,
,Alien Bitcoin,,1
,Bitcoin,,5
,Brown perks,,10
,Burberry,,100
,Circles,,150
,Dior,,200
,Fendi,,250
,Flowers,,50
,Green,,800
,Grey,,800
,Louis Vuitton,,30
,Orange,,500
,Peace,,300
,Pink,,500
,Play Station,,20
,Soft brown,,642
,Soft yellow,,642
,,Total,5000
,,,
Ear Ring,,,
,Balance,,1350
,Happiness,,1150
,Infinite,,950
,Lotus,,100
,Love,,200
,Peace,,700
,Tree of Life,,500
,Yin & Yang,,50
,,Total,5000
,,,
Expressions,,,
,Blink,,660
,Drinking Coke,,10
,Honest,,660
,Keeping a Blue Daisy,,150
,Keeping a Blue Lily Flower,,150
,Keeping a Pink Lily FLower,,150
,Keeping a Pink Tulip,,150
,Keeping a white Daisy,,150
,Keeping a Yellow Tulip,,150
,Keeping multicolor quatrifoil,,150
,Keping a Quatrifoil,,150
,Meditating,,660
,Nerd,,370
,OHM Meditation,,660
,Relaxed,,120
,Smile,,660
,,Total,5000
,,,
Hats_hairs,,,
,Apple,,10
,Bitcoin,,10
,Blonde hairs,,510
,Brown Hairs,,510
,Brown hat,,330
,Floppy,,220
,Graduated,,120
,Green hairs,,510
,Nike,,22
,Orange hairs,,510
,Orange hat,,330
,Pink&Yellow hat,,330
,Play Station,,55
,Santa Claus,,150
,The North Face,,33
,Water Green hairs,,510
,Yellow hat,,330
,Yellow&Orange hairs,,510
,,Total,5000
